date,ad_id,ad_name,platform,cohort,spend_cents,impressions,clicks,conversions,attributed_revenue_cents,observed_roas,baseline_forecast_roas,model_forecast_roas
2026-01-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43661,43182,475,6,46977,1.075949,,
2026-01-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51370,50727,558,8,57199,1.113471,,
2026-01-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49828,49273,542,8,57189,1.147728,,
2026-01-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48801,48182,530,7,52480,1.075388,,
2026-01-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43152,42636,469,6,46075,1.067737,,
2026-01-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42357,41818,460,6,42257,0.997639,,
2026-01-31,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47278,46727,514,7,50305,1.064026,,
2026-02-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49533,48909,538,7,50179,1.013042,,
2026-02-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,55109,54455,599,9,65420,1.187102,,
2026-02-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54650,54000,594,9,64815,1.186002,,
2026-02-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53079,52455,577,8,57823,1.089376,,
2026-02-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44487,44000,484,6,46392,1.042821,,
2026-02-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42985,42455,467,6,43589,1.014051,,
2026-02-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44991,44455,489,6,43791,0.973328,,
2026-02-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46432,45909,505,6,47280,1.018263,,
2026-02-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53328,52727,580,8,60401,1.132632,,
2026-02-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54863,54182,596,8,58753,1.070904,,
2026-02-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46779,46182,508,7,51677,1.104705,,
2026-02-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42683,42182,464,6,42570,0.997353,,
2026-02-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39139,38636,425,4,32352,0.826592,,
2026-02-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42639,42091,463,5,37311,0.875044,,
2026-02-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45319,44818,493,6,45523,1.004501,,
2026-02-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47953,47364,521,7,53853,1.123037,,
2026-02-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45441,44909,494,6,48215,1.061046,,
2026-02-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45302,44727,492,6,45663,1.007969,,
2026-02-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38773,38273,421,5,37915,0.977871,,
2026-02-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,35390,35000,385,4,32357,0.914298,,
2026-02-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,35797,35364,389,4,30182,0.843143,,
2026-02-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45665,45091,496,6,45797,1.002891,,
2026-02-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47141,46545,512,7,49491,1.04985,,
2026-02-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48172,47636,524,7,51051,1.059765,,
2026-02-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47711,47182,519,6,47883,1.003605,,
2026-02-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43572,43091,474,6,41992,0.963738,,
2026-02-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39602,39091,430,5,40126,1.013232,,
2026-02-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40885,40364,444,5,39238,0.959716,,
2026-03-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51558,50909,560,7,53646,1.040498,,
2026-03-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,56770,56091,617,8,64332,1.133204,,
2026-03-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,56645,56000,616,9,69811,1.23243,,
2026-03-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54275,53636,590,8,59733,1.100562,,
2026-03-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46843,46273,509,7,50927,1.087185,,
2026-03-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48717,48182,530,6,49220,1.010325,,
2026-03-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,41410,40909,450,5,41009,0.990316,,
2026-03-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53727,53091,584,7,55140,1.0263,,
2026-03-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50715,50091,551,8,58618,1.155832,,
2026-03-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53033,52364,576,7,53768,1.013859,,
2026-03-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51981,51364,565,7,55689,1.071334,,
2026-03-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44928,44364,488,6,44521,0.990941,,
2026-03-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,37769,37364,411,5,35365,0.93635,,
2026-03-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,37907,37455,412,5,38610,1.018545,,
2026-03-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43754,43273,476,6,48175,1.101042,,
2026-03-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49119,48545,534,7,51127,1.04088,,
2026-03-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45717,45182,497,7,53259,1.164971,,
2026-03-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43908,43364,477,6,46458,1.058076,,
2026-03-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42956,42455,467,5,41675,0.970179,,
2026-03-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,36004,35545,391,4,31959,0.887651,,
2026-03-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,35835,35455,390,4,33977,0.948151,,
2026-03-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44105,43545,479,6,45228,1.025462,,
2026-03-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44151,43636,480,6,45486,1.030237,,
2026-03-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54982,54364,598,7,55563,1.010567,,
2026-03-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49102,48545,534,7,51043,1.03953,,
2026-03-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,41569,41091,452,5,40303,0.969545,,
2026-03-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40949,40455,445,5,36374,0.888276,,
2026-03-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,37865,37455,412,5,34548,0.912399,,
2026-03-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44075,43545,479,6,48379,1.097652,,
2026-03-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49658,49091,540,7,52314,1.053486,,
2026-03-31,SYN-META-01,Generated prospecting concept A,Meta Ads,development,52953,52364,576,8,60634,1.145053,,
2026-04-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49086,48545,534,7,50670,1.03227,,
2026-04-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47097,46545,512,6,47925,1.017581,,
2026-04-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39365,38909,428,6,43420,1.10301,,
2026-04-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42141,41636,458,6,47732,1.132674,,
2026-04-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50983,50364,554,7,56306,1.104407,,
2026-04-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,56166,55455,610,9,64836,1.154364,,
2026-04-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,55579,54909,604,8,61657,1.109358,,
2026-04-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48907,48364,532,6,49369,1.009447,,
2026-04-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45649,45091,496,7,51025,1.117768,,
2026-04-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43223,42727,470,5,39757,0.919811,,
2026-04-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40640,40182,442,5,40024,0.984843,,
2026-04-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46685,46091,507,6,46072,0.986869,,
2026-04-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51766,51182,563,7,54350,1.049917,,
2026-04-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46368,45818,504,7,50966,1.099163,,
2026-04-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42956,42455,467,6,45823,1.066743,,
2026-04-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39590,39091,430,5,39106,0.987775,,
2026-04-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38070,37636,414,5,36241,0.951957,,
2026-04-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,36410,36000,396,4,33484,0.919637,,
2026-04-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42056,41545,457,5,40201,0.955892,,
2026-04-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47118,46545,512,7,52882,1.122331,,
2026-04-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46536,46000,506,6,49210,1.057461,,
2026-04-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44958,44455,489,6,44980,1.000489,,
2026-04-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43149,42636,469,5,41038,0.951077,,
2026-04-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39808,39364,433,5,40711,1.022684,,
2026-04-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38890,38455,423,5,36662,0.94271,,
2026-04-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48020,47455,522,7,53066,1.105081,,
2026-04-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53546,52909,582,8,60570,1.131177,,
2026-04-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54215,53545,589,8,63107,1.164014,,
2026-04-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54589,53909,593,8,60622,1.110517,,
2026-04-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44476,43909,483,6,48193,1.083573,,
2026-05-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43932,43455,478,6,43740,0.99563,,
2026-05-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45720,45182,497,6,46819,1.024038,,
2026-05-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47828,47273,520,7,52357,1.094693,,
2026-05-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53100,52455,577,8,58635,1.104237,,
2026-05-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,57038,56364,620,8,64334,1.127915,,
2026-05-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50878,50273,553,7,55571,1.09224,,
2026-05-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45869,45364,499,6,44945,0.979856,,
2026-05-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42710,42182,464,6,43353,1.015055,,
2026-05-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43303,42818,471,6,43456,1.003533,,
2026-05-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48877,48273,531,6,48018,0.982425,,
2026-05-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51197,50545,556,7,53120,1.037561,,
2026-05-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50425,49818,548,7,54886,1.088468,,
2026-05-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47914,47364,521,7,52355,1.092687,,
2026-05-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44629,44091,485,6,45831,1.026933,,
2026-05-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,34739,34364,378,4,30519,0.878523,,
2026-05-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39433,39000,429,5,38435,0.974691,,
2026-05-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42991,42455,467,5,41339,0.961573,,
2026-05-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48083,47545,523,6,49095,1.021047,,
2026-05-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45244,44727,492,6,46500,1.027761,,
2026-05-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42588,42091,463,5,41112,0.965342,,
2026-05-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40171,39727,437,5,40166,0.999876,,
2026-05-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,41659,41182,453,5,37999,0.912144,,
2026-05-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39879,39364,433,5,39519,0.990973,,
2026-05-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47156,46636,513,7,50538,1.071719,,
2026-05-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49363,48818,537,7,55280,1.119867,,
2026-05-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49733,49182,541,7,54015,1.0861,,
2026-05-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51366,50727,558,7,53495,1.041448,,
2026-05-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46389,45818,504,7,49658,1.070469,,
2026-05-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38201,37727,415,5,39628,1.037355,,
2026-05-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44488,44000,484,6,45808,1.029671,,
2026-05-31,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51708,51091,562,7,53758,1.039646,,
2026-06-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,56802,56091,617,8,58833,1.035756,,
2026-06-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,55147,54455,599,8,58026,1.052206,,
2026-06-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,52545,51909,571,7,55942,1.064649,,
2026-06-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44567,44000,484,6,48025,1.077591,,
2026-06-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44761,44273,487,6,46328,1.035008,,
2026-06-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45577,45000,495,6,45014,0.987647,,
2026-06-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47728,47182,519,7,50568,1.059504,,
2026-06-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,52717,52091,573,8,60117,1.140372,,
2026-06-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51255,50636,557,7,56292,1.098273,,
2026-06-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47884,47273,520,7,51635,1.078335,,
2026-06-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42682,42182,464,6,43274,1.01387,,
2026-06-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39290,38818,427,5,37621,0.957521,,
2026-06-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40248,39727,437,6,41934,1.04189,,
2026-06-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46827,46273,509,6,44628,0.95304,,
2026-06-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45995,45455,500,6,49198,1.069638,,
2026-06-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49352,48727,536,7,49886,1.01082,,
2026-06-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44607,44091,485,6,43340,0.971596,,
2026-06-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38298,37818,416,5,34412,0.898533,,
2026-06-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,37711,37273,410,5,35538,0.942378,,
2026-06-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39799,39364,433,5,37351,0.938491,,
2026-06-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40973,40455,445,5,40573,0.990237,,
2026-06-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47991,47455,522,7,50459,1.051426,,
2026-06-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51150,50545,556,7,50709,0.991378,,
2026-06-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45989,45455,500,7,51556,1.121051,,
2026-06-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42962,42455,467,5,39819,0.926842,,
2026-06-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43577,43091,474,6,42540,0.976203,,
2026-06-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42737,42273,465,5,41395,0.968599,,
2026-06-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46489,45909,505,6,46717,1.004904,,
2026-06-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54919,54273,597,8,58842,1.071432,,
2026-06-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54347,53727,591,8,61063,1.123576,,
2026-07-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,52697,52091,573,8,58340,1.107084,,
2026-07-02,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48160,47545,523,6,45594,0.946719,,
2026-07-03,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43145,42636,469,5,41015,0.950632,,
2026-07-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45718,45182,497,6,48815,1.067741,,
2026-07-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49575,49000,539,7,51385,1.03651,,
2026-07-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53733,53091,584,8,57411,1.06845,,
2026-07-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,56726,56091,617,9,65211,1.149579,,
2026-07-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49117,48545,534,8,58111,1.183114,,
2026-07-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45322,44818,493,6,45264,0.99872,,
2026-07-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40263,39818,438,5,39385,0.978193,,
2026-07-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42755,42273,465,5,37880,0.885978,,
2026-07-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43802,43273,476,6,42856,0.978403,,
2026-07-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,48353,47818,526,6,47855,0.989701,,
2026-07-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49691,49091,540,7,51562,1.037653,,
2026-07-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45318,44818,493,6,45615,1.006554,,
2026-07-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40813,40364,444,5,37486,0.918482,,
2026-07-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38278,37818,416,4,33843,0.884137,,
2026-07-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,37197,36727,404,4,33420,0.89846,,
2026-07-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43602,43091,474,5,39231,0.899752,,
2026-07-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50144,49545,545,7,49831,0.993758,,
2026-07-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,50994,50364,554,7,51238,1.004785,,
2026-07-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46576,46000,506,6,43416,0.932154,,
2026-07-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42491,42000,462,5,38105,0.896778,,
2026-07-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38054,37636,414,5,35324,0.92826,,
2026-07-25,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43544,43000,473,6,42592,0.978137,,
2026-07-26,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45424,44909,494,6,46434,1.022235,,
2026-07-27,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51984,51364,565,8,58116,1.117959,,
2026-07-28,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51963,51364,565,8,60155,1.157651,,
2026-07-29,SYN-META-01,Generated prospecting concept A,Meta Ads,development,51170,50545,556,8,60764,1.187493,,
2026-07-30,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45225,44727,492,6,46526,1.028767,,
2026-07-31,SYN-META-01,Generated prospecting concept A,Meta Ads,development,42682,42182,464,5,40916,0.958624,,
2026-08-01,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44005,43455,478,6,46339,1.053039,,
2026-08-02,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,48445,47909,527,7,53188,1.097905,1.00639,1.087724
2026-08-03,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,57807,57091,628,9,65557,1.134067,1.00639,1.161534
2026-08-04,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,57042,56364,620,9,65355,1.145735,1.00639,1.145106
2026-08-05,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,48686,48091,529,7,52763,1.083741,1.00639,1.065867
2026-08-06,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,47639,47091,518,6,47458,0.996201,1.00639,1.057437
2026-08-07,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,38858,38364,422,5,39739,1.022672,1.00639,0.977081
2026-08-08,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,44048,43545,479,6,44353,1.006924,1.00639,1.033677
2026-08-09,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,44056,43545,479,6,46414,1.053523,1.00639,1.032454
2026-08-10,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,47591,47000,517,6,47995,1.008489,1.00639,1.058914
2026-08-11,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,51405,50818,559,8,60400,1.174983,1.00639,1.085413
2026-08-12,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,44976,44455,489,6,47205,1.04956,1.00639,1.022389
2026-08-13,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,40631,40182,442,5,38061,0.936748,1.00639,0.983487
2026-08-14,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,35125,34727,382,4,32775,0.933096,1.00639,0.934541
2026-08-15,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,35999,35545,391,4,32546,0.904081,1.00639,0.951701
2026-08-16,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,40139,39636,436,5,37882,0.94377,1.00639,0.996864
2026-08-17,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,48579,48000,528,6,46299,0.953066,1.00639,1.074494
2026-08-18,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,52769,52182,574,7,51602,0.977885,1.00639,1.10676
2026-08-19,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,46713,46182,508,6,47596,1.018903,1.00639,1.050631
2026-08-20,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,36878,36455,401,5,35180,0.953956,1.00639,0.958317
2026-08-21,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,38177,37727,415,5,35937,0.941326,1.00639,0.982208
2026-08-22,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,35856,35455,390,5,34761,0.969461,1.00639,0.966153
2026-08-23,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,43576,43091,474,6,44996,1.032587,1.00639,1.047287
2026-08-24,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,46873,46273,509,7,54127,1.154759,1.00639,1.074275
2026-08-25,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,51833,51182,563,8,58306,1.124882,1.00639,1.112993
2026-08-26,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,49102,48545,534,7,55120,1.122561,1.00639,1.085585
2026-08-27,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,45209,44636,491,6,46306,1.024265,1.00639,1.052805
2026-08-28,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,39726,39273,432,5,37390,0.941197,1.00639,1.006073
2026-08-29,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,43260,42727,470,6,46339,1.071174,1.00639,1.04704
2026-08-30,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,49685,49091,540,7,49951,1.005354,1.00639,1.106601
2026-08-31,SYN-META-01,Generated prospecting concept A,Meta Ads,holdout,55436,54818,603,9,64749,1.167996,1.00639,1.149559
2026-01-04,SYN-META-02,Generated prospecting concept B,Meta Ads,development,43424,37667,452,7,58675,1.351211,,
2026-01-05,SYN-META-02,Generated prospecting concept B,Meta Ads,development,47779,41500,498,8,64546,1.350928,,
2026-01-06,SYN-META-02,Generated prospecting concept B,Meta Ads,development,46854,40667,488,8,59756,1.275366,,
2026-01-07,SYN-META-02,Generated prospecting concept B,Meta Ads,development,42373,36750,441,7,54171,1.278432,,
2026-01-08,SYN-META-02,Generated prospecting concept B,Meta Ads,development,32107,27833,334,5,37446,1.166288,,
2026-01-09,SYN-META-02,Generated prospecting concept B,Meta Ads,development,33884,29417,353,5,39430,1.163676,,
