week,cohort,search_spend,social_spend,email_spend,partner_spend,seasonality,organic_demand,lagged_effect,noise,revenue
2024-04-01,development,13792.63,10212.64,5557.01,8893.25,-1915.41,145819.59,217961.63,315.71,364096.93
2024-04-08,development,14314.13,12017.57,5712.94,7469.45,-4842.9,143077.1,218826.53,2609.01,364512.64
2024-04-15,development,13422.45,8876.17,4944.67,7746.54,-7731.25,140373.75,213554.11,-6308.96,347618.9
2024-04-22,development,15551.62,8969.02,4808.66,6442.85,-10475.38,137814.62,211897.98,-5127.61,344584.99
2024-04-29,development,13202.26,11284.69,5429.28,5877.83,-12974.13,135500.87,210549.0,297.86,346347.74
2024-05-06,development,12397.19,8522.13,4827.8,8608.22,-15135.3,133524.7,207673.36,901.17,342099.22
2024-05-13,development,14486.45,9950.41,5375.51,9208.18,-16880.26,131964.74,213086.64,-1584.81,343466.57
2024-05-20,development,12621.93,9828.1,5442.49,8568.41,-18147.78,130882.22,212597.63,208.43,343688.29
2024-05-27,development,17476.0,9983.96,4673.68,7826.68,-18897.04,130317.96,216347.02,-5676.48,340988.5
2024-06-03,development,12739.28,11379.61,4433.8,6884.97,-19109.54,130290.46,211595.5,-2640.79,339245.16
2024-06-10,development,12108.55,9920.74,4389.37,10378.33,-18789.77,130795.23,211089.52,4411.8,346296.55
2024-06-17,development,15759.54,11321.89,4132.0,9115.37,-17964.71,131805.29,215746.59,156.84,347708.72
2024-06-24,development,13105.66,10241.86,4470.13,10119.0,-16682.18,133272.82,215712.72,3595.46,352581.01
2024-07-01,development,14880.01,12406.34,4052.42,9092.14,-15007.99,135132.01,218008.5,6922.22,360062.73
2024-07-08,development,13988.02,12557.35,4036.16,8759.96,-13022.34,137302.66,217963.8,2503.11,357769.57
2024-07-15,development,15215.31,13602.64,3860.15,7970.03,-10815.3,139694.7,219194.65,-2307.63,356581.72
2024-07-22,development,14251.02,12946.06,3244.26,8540.85,-8482.04,142212.96,216676.46,-1589.12,357300.3
2024-07-29,development,17340.82,11502.51,4510.09,9566.99,-6117.71,144762.29,223620.58,-3890.07,364492.8
2024-08-05,development,17017.72,13227.32,4939.87,8217.64,-3812.56,147252.44,226926.5,-17007.53,357171.41
2024-08-12,development,16313.39,13285.13,4197.83,9140.01,-1647.32,149602.68,226222.46,-1555.3,374269.84
2024-08-19,development,15016.52,14027.8,4501.65,8206.62,310.65,151745.65,225142.35,-2353.45,374534.55
2024-08-26,development,16793.78,13902.71,5395.03,8263.18,2010.48,153630.48,229027.63,5563.3,388221.42
2024-09-02,development,15798.54,14640.86,4868.05,8043.19,3419.78,155224.78,228114.66,10277.92,393617.36
2024-09-09,development,20761.41,12278.86,5333.81,8682.07,4525.61,156515.61,233610.32,21396.61,411522.53
2024-09-16,development,20177.3,14982.14,5235.97,8379.11,5334.15,157509.15,236473.31,-722.41,393260.05
2024-09-23,development,18486.2,10555.42,5048.85,7465.27,5869.4,158229.4,231220.41,-7608.67,381841.14
2024-09-30,development,22048.16,14764.32,4993.37,7850.67,6170.67,158715.67,235478.09,-5320.55,388873.21
2024-10-07,development,16062.55,13287.46,4566.81,6094.47,6289.34,159019.34,226972.59,7430.03,393421.96
2024-10-14,development,18751.89,13957.22,5504.77,7448.92,6284.81,159199.81,230099.63,-9406.76,379892.68
2024-10-21,development,20684.19,14172.64,5440.87,7584.63,6220.12,159320.12,233459.61,-3059.23,389720.49
2024-10-28,development,17582.18,13034.35,5123.28,6725.14,6157.35,159442.35,229006.74,4239.02,392688.11
2024-11-04,development,19517.45,13689.67,5506.26,6306.42,6153.18,159623.18,229693.38,-12037.44,377279.11
2024-11-11,development,18100.07,11090.78,5328.41,9039.84,6254.79,159909.79,229084.47,1212.25,390206.51
2024-11-18,development,19483.42,15237.22,4832.08,7033.46,6496.47,160336.47,230156.02,6385.61,396878.1
2024-11-25,development,19613.05,13057.89,4240.23,5386.17,6897.04,160922.04,225695.12,3488.21,390105.37
2024-12-02,development,14684.48,14330.8,5583.1,7384.31,7458.24,161668.24,224846.98,962.71,387477.93
2024-12-09,development,19314.39,12481.12,4340.16,6529.17,8164.3,162559.3,223815.72,-26471.82,359903.2
2024-12-16,development,17417.85,13487.06,4578.89,6402.7,8982.58,163562.58,222442.48,3397.97,389403.03
2024-12-23,development,16277.28,8941.39,3564.13,4451.22,9865.4,164630.4,211006.42,-2536.03,373100.79
2024-12-30,development,17319.95,12403.56,4650.81,7061.82,10752.74,165702.74,215802.76,-5812.9,375692.6
2025-01-06,development,16558.13,12935.43,3871.8,7694.8,11575.9,166710.9,216248.2,-4141.99,378817.1
2025-01-13,development,15771.37,10676.76,5244.83,7886.54,12261.74,167581.74,218432.02,-2257.5,383756.27
2025-01-20,development,14787.01,11902.73,4166.69,7352.94,12737.3,168242.3,215236.43,2529.77,386008.5
2025-01-27,development,14926.77,9277.66,4314.17,8940.32,12934.49,168624.49,214383.93,6323.86,389332.29
2025-02-03,development,16360.25,11019.1,3993.93,6205.41,12794.69,168669.69,213236.15,5180.0,387085.84
2025-02-10,development,16784.14,12086.74,4527.95,7221.11,12272.79,168332.79,216664.22,9415.96,394412.97
2025-02-17,development,13066.98,10876.56,3744.04,7074.95,11340.65,167585.65,210024.2,-17160.91,360448.94
2025-02-24,development,15027.56,12276.05,5081.62,6664.67,9989.52,166419.52,214147.82,1054.72,381622.06
2025-03-03,development,17590.95,11539.97,5297.37,6881.61,8231.52,164846.52,218799.25,12320.11,395965.87
2025-03-10,development,15401.11,9562.48,5064.98,7294.92,6099.87,162899.87,216097.16,5125.98,384123.01
2025-03-17,development,13627.69,9361.86,4777.92,7019.79,3647.98,160632.98,211095.38,6149.02,377877.38
2025-03-24,development,10866.87,14588.07,5691.5,7943.1,947.38,158117.38,212992.62,5413.83,376523.84
2025-03-31,development,14624.38,10269.49,4838.88,8161.92,-1915.41,155439.59,214053.7,-5056.02,364437.26
2025-04-07,development,14121.02,9947.0,5234.31,7377.55,-4842.9,152697.1,213716.63,-2185.78,364227.95
2025-04-14,development,15817.2,5868.29,5074.4,10257.07,-7731.25,149993.75,214334.96,3815.24,368143.95
2025-04-21,development,13206.66,12202.77,4362.05,8481.07,-10475.38,147434.62,213601.94,-274.56,360762.01
2025-04-28,development,13127.69,10620.38,4966.81,7465.88,-12974.13,145120.87,212815.49,14761.36,372697.72
2025-05-05,development,12049.83,10781.05,4941.81,7410.23,-15135.3,143144.7,210571.09,-643.75,353072.03
2025-05-12,development,14803.05,10186.89,4810.33,10430.74,-16880.26,141584.74,215819.44,-5150.56,352253.62
2025-05-19,development,15017.28,10369.08,4943.27,9178.49,-18147.78,140502.22,218178.37,-3561.75,355118.84
2025-05-26,development,12562.19,11276.17,4609.44,8453.46,-18897.04,139937.96,215221.53,-6029.59,349129.9
2025-06-02,development,12615.98,10353.28,3803.14,8906.4,-19109.54,139910.46,211451.65,11365.02,362727.13
2025-06-09,development,13606.89,11835.99,4013.27,8792.69,-18789.77,140415.23,213342.35,8713.31,362470.89
2025-06-16,development,14917.04,10051.86,3952.29,8274.03,-17964.71,141425.29,213816.57,-3489.33,351752.53
2025-06-23,development,13615.33,7539.27,3873.01,8218.99,-16682.18,142892.82,209219.55,-2040.03,350072.35
2025-06-30,development,14831.44,9671.77,3922.97,7918.05,-15007.99,144752.01,210088.16,3821.69,358661.85
2025-07-07,development,16181.94,11118.94,4886.75,8602.52,-13022.34,146922.66,216994.74,-1163.38,362754.02
2025-07-14,development,18836.31,12226.03,4377.57,10449.84,-10815.3,149314.7,224728.02,-7509.14,366533.58
2025-07-21,development,15692.68,14130.97,3296.78,8836.76,-8482.04,151832.96,222080.9,-5691.45,368222.42
2025-07-28,development,16102.01,11424.5,4205.16,10031.0,-6117.71,154382.29,223932.25,-9198.23,369116.3
2025-08-04,development,16807.87,13036.57,4586.13,8455.99,-3812.56,156872.44,226292.06,8477.26,391641.76
2025-08-11,development,15947.15,12428.43,4679.36,7457.28,-1647.32,159222.68,224656.41,-7337.52,376541.56
2025-08-18,development,16886.16,11082.79,5451.5,8693.23,310.65,161365.65,226714.12,-11783.18,376296.59
2025-08-25,development,18369.84,11366.72,4542.05,8335.18,2010.48,163250.48,226387.26,-6318.78,383318.96
2025-09-01,development,16867.04,13251.71,5179.64,7567.26,3419.78,164844.78,226975.73,1317.89,393138.41
2025-09-08,development,15952.78,13929.33,4614.77,7385.15,4525.61,166135.61,224777.82,-7397.43,383516.0
2025-09-15,development,16359.2,15236.52,5690.01,9577.84,5334.15,167129.15,230611.17,5948.83,403689.15
2025-09-22,development,15136.07,13445.18,4708.1,8097.8,5869.4,167849.4,226643.68,9584.2,404077.28
2025-09-29,development,18518.57,12453.67,4653.41,7946.47,6170.67,168335.67,227911.69,4934.26,401181.63
2025-10-06,development,17862.93,14020.44,5539.04,8467.25,6289.34,168639.34,231549.32,-8884.9,391303.75
2025-10-13,development,16689.79,13410.08,5678.92,9536.35,6284.81,168819.81,232725.54,17809.77,419355.12
2025-10-20,development,20372.72,11891.51,5132.21,6830.77,6220.12,168940.12,232035.67,1047.52,402023.32
2025-10-27,development,19314.02,14735.6,4667.82,6592.74,6157.35,169062.35,230630.74,-239.04,399454.05
2025-11-03,development,19904.7,11851.94,5271.84,6890.66,6153.18,169243.18,230233.96,1009.4,400486.54
2025-11-10,development,19581.23,11435.5,5267.16,7446.71,6254.79,169529.79,229379.75,2079.64,400989.18
2025-11-17,development,19274.67,14379.61,4958.94,6495.15,6496.47,169956.47,228835.34,-8195.98,390595.84
2025-11-24,development,21051.75,13393.36,3731.57,6243.12,6897.04,170542.04,226016.03,-17456.25,379101.82
2025-12-01,development,18605.33,13935.69,4395.84,7211.52,7458.24,171288.24,226016.73,-4287.24,393017.73
2025-12-08,development,20224.75,11899.51,4750.53,5915.52,8164.3,172179.3,225427.47,956.95,398563.72
2025-12-15,development,17836.39,12438.8,3981.09,6434.69,8982.58,173182.58,220867.74,7604.56,401654.89
2025-12-22,development,19581.22,10781.43,4481.12,6391.51,9865.4,174250.4,220762.26,-8039.8,386972.86
2025-12-29,development,19418.85,11973.64,4236.06,6172.7,10752.74,175322.74,220054.77,3921.16,399298.66
2026-01-05,development,16877.04,9648.94,4061.49,7259.09,11575.9,176330.9,215893.3,22415.03,414639.23
2026-01-12,development,16664.13,11448.29,3913.21,5264.78,12261.74,177201.74,212123.18,-13028.57,376296.36
2026-01-19,development,18141.42,10209.09,4202.42,7736.32,12737.3,177862.3,214942.48,-4364.55,388440.23
2026-01-26,development,15106.51,10629.99,4319.87,5926.13,12934.49,178244.49,211145.8,-1069.91,388320.38
2026-02-02,development,16438.55,11024.65,4698.11,7254.56,12794.69,178289.69,213849.83,-5184.75,386954.77
2026-02-09,development,18270.8,8420.04,4829.86,4757.92,12272.79,177952.79,211715.35,-10513.06,379155.09
2026-02-16,development,15314.68,8967.83,5508.0,6180.18,11340.65,177205.65,210286.82,9598.33,397090.8
2026-02-23,holdout,14315.01,12033.63,4908.58,7137.28,9989.52,176039.52,210793.69,-5213.69,381619.52
2026-03-02,holdout,14921.24,10453.19,4738.31,7965.09,8231.52,174466.52,211762.3,-9123.06,377105.76
2026-03-09,holdout,15229.0,12245.89,4401.01,6590.19,6099.87,172519.87,212091.04,3070.54,387681.44
2026-03-16,holdout,16567.01,12488.95,4672.04,8875.65,3647.98,170252.98,218110.41,-3016.65,385346.73
2026-03-23,holdout,10035.3,11891.74,5103.02,7384.59,947.38,167737.38,211653.75,12514.82,391905.94
2026-03-30,holdout,14076.43,10172.68,5122.57,6997.41,-1915.41,165059.59,212127.81,9197.42,386384.81
2026-04-06,holdout,14454.11,9846.46,5379.51,6852.32,-4842.9,162317.1,212508.31,-514.13,374311.28
2026-04-13,holdout,14226.27,10164.39,6200.64,7877.95,-7731.25,159613.75,215393.17,13617.01,388623.93
2026-04-20,holdout,15760.79,11156.1,5093.11,7927.83,-10475.38,157054.62,216929.44,3322.2,377306.26
2026-04-27,holdout,12737.07,9647.3,5665.91,7868.76,-12974.13,154740.87,214056.51,-6300.98,362496.41
2026-05-04,holdout,13320.74,9775.5,4928.22,8390.41,-15135.3,152764.7,212277.14,-2152.64,362889.19
2026-05-11,holdout,15845.91,10736.34,5102.83,7214.23,-16880.26,151204.74,215164.56,1815.38,368184.67
2026-05-18,holdout,14114.12,10165.91,5033.01,9035.1,-18147.78,150122.22,215526.68,6610.63,372259.54
2026-05-25,holdout,14914.12,14476.59,5462.99,8255.61,-18897.04,149557.96,221171.14,43.61,370772.71
2026-06-01,holdout,10496.2,11547.25,4537.26,9407.57,-19109.54,149530.46,214503.22,1808.21,365841.88
2026-06-08,holdout,15888.5,11576.95,4759.24,8935.12,-18789.77,150035.23,219669.91,-8005.76,361699.38
2026-06-15,holdout,16903.53,12206.09,4445.78,8667.74,-17964.71,151045.29,222615.75,14707.65,388368.68
2026-06-22,holdout,14408.41,11576.37,3481.76,8735.57,-16682.18,152512.82,217722.96,1811.64,372047.42
2026-06-29,holdout,15081.95,12066.1,3884.33,7344.64,-15007.99,154372.01,216849.88,6363.72,377585.61
2026-07-06,holdout,15073.61,12259.86,4864.55,9407.65,-13022.34,156542.66,221349.39,3477.47,381369.52
2026-07-13,holdout,16167.07,9122.58,4480.0,7944.24,-10815.3,158934.7,219222.8,4289.34,382446.83
2026-07-20,holdout,13382.82,13192.83,4001.81,8806.44,-8482.04,161452.96,217332.27,1315.29,380100.52
2026-07-27,holdout,17810.28,10758.32,4120.41,9126.64,-6117.71,164002.29,221285.1,5897.12,391184.5
2026-08-03,holdout,15673.14,12621.83,4698.24,9350.77,-3812.56,166492.44,223897.75,167.21,390557.4
2026-08-10,holdout,18111.63,13546.86,4478.68,8022.09,-1647.32,168842.68,226795.51,13561.42,409199.61
2026-08-17,holdout,18621.7,13653.99,4350.38,8229.21,310.65,170985.65,228566.59,8570.04,408122.28
