account_id,cohort,tenure_months,usage_change_90d,communication_gap_days,billing_change,delivered_performance_index,support_contacts_90d,monthly_revenue,churned_120d,lead_time_days,model_probability
SYN-00070,development,60,-0.3979,22,0,1.007,1,1819.55,0,0,0.132506
SYN-00071,development,35,0.2971,6,0,0.9816,8,1618.83,0,0,0.080036
SYN-00072,development,44,0.201,23,1,0.8097,5,386.52,1,121,0.196319
SYN-00073,development,73,-0.0626,27,0,0.904,0,450.14,0,0,0.090536
SYN-00074,development,18,-0.1914,1,0,0.8772,1,769.43,0,0,0.104623
SYN-00075,development,69,-0.2297,27,0,1.011,3,2674.48,0,0,0.123943
SYN-00076,development,75,-0.2135,21,0,0.8315,0,2482.8,0,0,0.105082
SYN-00077,development,64,0.3461,32,0,0.8058,6,1676.4,0,0,0.095287
SYN-00078,development,83,-0.1047,1,1,0.8681,0,2949.61,0,0,0.126121
SYN-00079,development,61,-0.1354,13,0,0.8811,0,1088.29,0,0,0.088247
SYN-00080,development,7,0.36,26,0,0.7331,0,5120.01,0,0,0.073355
SYN-00081,development,45,0.087,7,0,0.6955,0,1698.61,0,0,0.076006
SYN-00082,development,41,-0.0116,25,1,0.9982,5,382.81,0,0,0.223701
SYN-00083,development,72,-0.5519,29,0,0.9452,2,395.24,0,0,0.189874
SYN-00084,development,4,0.1144,41,0,0.9171,1,2581.81,0,0,0.117304
SYN-00085,development,69,0.2411,8,0,0.7816,0,280.33,0,0,0.053164
SYN-00086,development,22,-0.1169,44,0,0.7322,2,958.04,0,0,0.191785
SYN-00087,development,76,0.4431,1,0,0.7156,3,2216.84,0,0,0.045665
SYN-00088,development,53,0.25,1,0,0.9412,0,1665.73,0,0,0.043165
SYN-00089,development,34,-0.0754,19,0,0.9076,0,3352.27,0,0,0.093356
SYN-00090,development,53,-0.1122,1,0,0.6361,0,828.37,1,83,0.094487
SYN-00091,development,59,-0.2075,30,0,0.7921,4,1147.84,0,0,0.170107
SYN-00092,development,18,-0.3979,63,0,0.9977,0,3034.14,0,0,0.234275
SYN-00093,development,18,0.1489,20,1,0.9458,2,15859.43,1,106,0.135851
SYN-00094,development,26,-0.0722,59,0,1.0206,0,2654.83,0,0,0.145836
SYN-00095,development,18,-0.2157,38,0,0.9127,0,1235.74,0,0,0.154736
SYN-00096,development,47,-0.4274,1,0,0.8902,0,1228.85,0,0,0.115917
SYN-00097,development,46,-0.4885,50,0,0.8922,1,716.99,0,0,0.240104
SYN-00098,development,49,0.0849,63,0,0.9517,1,1414.02,1,91,0.132405
SYN-00099,development,13,0.0217,52,0,0.9738,7,6995.76,0,0,0.193269
SYN-00100,development,82,-0.4001,1,0,1.0533,0,621.7,0,0,0.08459
SYN-00101,development,8,-0.0663,1,0,1.0107,0,974.63,0,0,0.076264
SYN-00102,development,23,-0.0579,75,0,1.1271,0,740.3,0,0,0.164988
SYN-00103,development,51,-0.0511,20,0,0.8723,3,545.41,0,0,0.112456
SYN-00104,development,2,-0.2231,19,0,1.0265,0,9195.84,0,0,0.107437
SYN-00105,development,66,-0.049,21,0,0.7431,0,2115.61,0,0,0.095567
SYN-00106,development,31,0.0441,4,0,0.9065,3,1158.54,1,91,0.084227
SYN-00107,development,29,0.2705,7,0,0.9043,2,1092.7,0,0,0.060889
SYN-00108,development,3,0.4647,16,0,0.8485,2,3011.67,0,0,0.060436
SYN-00109,development,83,-0.6679,41,1,0.8979,0,5255.98,1,49,0.352818
SYN-00110,development,80,-0.0551,31,1,0.7664,2,1063.04,0,0,0.217196
SYN-00111,development,50,0.083,20,0,0.7612,2,2266.48,0,0,0.09551
SYN-00112,development,30,-0.2135,4,0,0.9181,2,1239.34,0,0,0.109389
SYN-00113,development,11,0.013,1,0,0.9816,5,743.64,0,0,0.098944
SYN-00114,development,2,-0.0431,47,0,0.9401,1,398.67,0,0,0.156453
SYN-00115,development,9,0.0669,25,0,1.0385,1,1051.67,0,0,0.091198
SYN-00116,development,36,0.1682,43,0,0.746,1,4919.64,0,0,0.111236
SYN-00117,development,47,0.2689,15,0,1.088,4,817.9,0,0,0.061547
SYN-00118,development,15,-0.0013,1,0,1.0059,0,5310.9,0,0,0.064207
SYN-00119,development,78,0.3641,1,0,0.9339,0,289.7,0,0,0.033894
SYN-00120,development,41,-0.5766,23,0,1.1422,0,2021.97,0,0,0.150357
SYN-00121,development,72,-0.3114,9,0,1.0644,1,2049.05,0,0,0.090653
SYN-00122,development,33,-0.5615,32,0,0.7611,1,919.59,0,0,0.246054
SYN-00123,development,25,0.2475,43,0,0.9091,0,1170.06,1,76,0.089032
SYN-00124,development,73,-0.1855,18,0,0.9458,2,7470.01,0,0,0.095349
SYN-00125,development,69,-0.6052,12,0,1.0689,0,1733.6,1,86,0.130252
SYN-00126,development,55,0.5169,1,0,0.9776,0,2581.36,0,0,0.028077
SYN-00127,development,19,0.1528,48,0,0.8816,0,1140.3,0,0,0.1129
SYN-00128,development,4,-0.5091,1,1,1.1435,0,1863.19,0,0,0.223268
SYN-00129,development,53,-0.0998,17,1,0.9474,2,8720.36,1,90,0.169755
SYN-00130,development,55,-0.1301,14,0,0.8389,3,1724.72,0,0,0.115055
SYN-00131,development,79,0.0539,44,0,0.9087,0,1263.92,0,0,0.093163
SYN-00132,development,51,0.1506,17,0,0.9432,2,1092.73,0,0,0.072015
SYN-00133,development,18,-0.5307,45,0,0.9043,1,848.9,1,42,0.259268
SYN-00134,development,57,-0.2159,84,0,0.9159,0,1411.79,1,32,0.228208
SYN-00135,development,33,0.1914,50,0,0.9809,3,2201.56,0,0,0.115442
SYN-00136,development,66,0.0391,33,0,0.7855,0,448.3,0,0,0.097975
SYN-00137,development,35,-0.2768,1,0,0.8153,1,3481.85,0,0,0.111163
SYN-00138,development,8,-0.2424,33,0,0.8144,2,1482.35,1,70,0.191568
SYN-00139,development,46,-0.1499,9,0,0.7306,2,180.0,0,0,0.120327
SYN-00140,development,46,0.5954,31,0,0.7993,0,345.74,0,0,0.048449
SYN-00141,development,3,-0.5914,22,0,0.8356,6,1171.49,0,0,0.314379
SYN-00142,development,23,-0.325,18,0,1.0025,3,3043.49,0,0,0.149887
SYN-00143,development,39,-0.332,7,0,0.9337,7,549.2,1,103,0.175673
SYN-00144,development,49,0.3542,20,0,0.7879,0,1465.9,0,0,0.057079
SYN-00145,development,59,0.3809,56,0,0.7284,0,1221.04,0,0,0.090414
SYN-00146,development,72,-0.5261,24,0,0.8672,0,1169.09,0,0,0.161464
SYN-00147,development,4,-0.24,20,0,0.8804,1,2499.69,0,0,0.145731
SYN-00148,development,2,-0.2223,52,0,0.9847,0,2129.7,0,0,0.182603
SYN-00149,development,70,0.2191,55,0,0.9927,0,2091.07,1,86,0.082313
SYN-00150,development,70,-0.2612,29,0,0.8419,0,988.02,0,0,0.127489
SYN-00151,development,63,-0.0692,58,0,0.9656,1,1291.83,0,0,0.141455
SYN-00152,development,83,0.2884,6,1,0.8582,0,3224.33,0,0,0.081014
SYN-00153,development,81,0.6531,31,0,0.9383,4,495.33,0,0,0.045065
SYN-00154,development,12,-0.5583,40,0,1.0045,1,756.55,0,0,0.240139
SYN-00155,development,64,0.1185,25,0,1.0736,0,875.67,0,0,0.061145
SYN-00156,development,82,0.014,48,0,0.6494,0,735.55,0,0,0.128939
SYN-00157,development,57,-0.0497,25,0,1.0468,0,2647.33,0,0,0.079049
SYN-00158,development,17,0.0338,21,0,0.7916,6,398.24,0,0,0.153156
SYN-00159,development,15,-0.419,55,0,0.9708,2,6843.77,0,0,0.243798
SYN-00160,development,45,-0.5037,73,1,0.9071,1,1321.74,0,0,0.478111
SYN-00161,development,52,-0.0601,22,0,0.9226,0,885.02,0,0,0.090111
SYN-00162,development,47,0.2756,64,0,0.9053,2,789.27,0,0,0.11901
SYN-00163,development,30,0.295,16,0,0.7423,0,880.88,0,0,0.066827
SYN-00164,development,29,-0.536,12,0,1.0884,2,1916.24,0,0,0.156153
SYN-00165,development,6,-0.0761,24,0,0.7729,1,1210.82,0,0,0.137882
SYN-00166,development,39,-0.3213,9,0,0.8856,0,1140.46,0,0,0.116236
SYN-00167,development,26,-0.2971,65,1,0.6865,0,1033.28,0,0,0.432644
SYN-00168,development,37,-0.3869,9,1,0.6422,3,6749.38,0,0,0.308506
SYN-00169,development,59,0.0184,42,0,0.9114,0,1833.22,0,0,0.102173
SYN-00170,development,73,-0.3633,23,0,0.7548,3,732.74,0,0,0.174183
SYN-00171,development,67,-0.5645,4,0,1.0987,4,1101.54,0,0,0.144506
SYN-00172,development,42,-0.4831,31,0,0.8797,1,1704.84,0,0,0.195103
SYN-00173,development,69,-0.0649,1,0,1.0031,9,888.37,1,113,0.111421
SYN-00174,development,66,0.0055,1,0,0.8718,4,965.47,0,0,0.081773
SYN-00175,development,66,-0.1695,12,0,0.7665,1,1258.86,0,0,0.10565
SYN-00176,development,63,-0.0806,52,0,0.5159,2,2322.61,0,0,0.202838
SYN-00177,development,36,0.1475,28,0,0.7499,0,1599.96,0,0,0.091521
SYN-00178,development,68,0.291,29,0,0.8067,2,481.18,0,0,0.074421
SYN-00179,development,10,0.1917,36,0,1.0568,0,1845.59,0,0,0.080711
SYN-00180,development,38,0.0317,23,0,0.7981,0,1116.82,0,0,0.095476
SYN-00181,development,81,0.1952,44,1,0.7123,1,853.45,1,118,0.184992
SYN-00182,development,2,-0.478,56,0,0.8028,1,1129.7,1,66,0.310064
SYN-00183,development,24,-0.1363,64,0,0.6349,1,652.14,0,0,0.2483
SYN-00184,development,66,-0.0058,30,1,1.1133,1,819.71,0,0,0.151964
SYN-00185,development,50,0.0179,22,0,0.9301,0,1716.64,0,0,0.080464
SYN-00186,development,82,0.1607,24,0,1.1899,1,652.19,0,0,0.051004
SYN-00187,development,83,-0.2872,9,0,1.1045,0,2785.0,0,0,0.074656
SYN-00188,development,77,-0.2991,29,1,0.8707,6,893.92,0,0,0.323444
SYN-00189,development,3,-0.0261,56,0,0.7556,0,1537.06,0,0,0.183037
SYN-00190,development,29,-0.2725,19,0,0.7859,0,475.61,0,0,0.141569
SYN-00191,development,51,-0.2451,17,0,0.9636,0,2138.13,0,0,0.102472
SYN-00192,development,21,-0.0849,17,0,1.0573,0,3006.67,0,0,0.085349
SYN-00193,development,53,0.5232,3,0,0.7806,0,1021.21,0,0,0.035621
SYN-00194,development,25,-0.2076,35,1,0.844,1,751.09,0,0,0.288528
SYN-00195,development,19,-0.0948,15,0,0.3671,2,1071.27,0,0,0.180082
SYN-00196,development,18,-0.226,30,0,0.8506,8,1343.21,0,0,0.244629
SYN-00197,development,21,-0.0746,13,0,1.1158,2,3037.03,0,0,0.087092
SYN-00198,development,43,0.192,2,0,1.0189,0,1129.37,0,0,0.046375
SYN-00199,development,31,-0.4047,38,0,1.1136,0,2540.0,1,70,0.154493
SYN-00200,development,55,-0.7413,62,0,0.9446,1,1180.22,1,82,0.329198
SYN-00201,development,67,-0.1068,3,1,0.9196,1,1469.9,0,0,0.143798
SYN-00202,development,36,0.2623,41,0,0.972,1,572.55,0,0,0.082995
SYN-00203,development,28,0.3627,3,0,0.6142,1,4217.16,0,0,0.059576
SYN-00204,development,8,-0.1501,18,0,0.7182,0,2036.69,0,0,0.135224
SYN-00205,development,2,-0.0195,36,0,0.7406,0,2161.33,0,0,0.143933
SYN-00206,development,16,-0.4349,49,0,1.0183,1,2027.34,1,74,0.222358
SYN-00207,development,19,-0.0065,15,0,0.8367,0,555.97,0,0,0.095192
SYN-00208,development,10,0.1293,50,0,0.9878,0,1180.83,0,0,0.112747
SYN-00209,development,33,-0.1294,31,0,1.0047,0,916.04,0,0,0.111293
SYN-00210,development,40,0.2535,15,0,0.8235,1,747.42,0,0,0.066755
SYN-00211,development,31,-0.0732,39,0,1.115,3,1101.92,0,0,0.128135
SYN-00212,development,12,0.3668,29,0,0.9839,0,849.87,0,0,0.062383
SYN-00213,development,69,-0.3016,60,0,0.8352,0,850.72,0,0,0.196902
SYN-00214,development,48,0.0508,10,0,0.7889,1,1879.21,0,0,0.080603
SYN-00215,development,76,0.0121,7,1,0.7745,0,1249.92,0,0,0.133533
SYN-00216,development,19,0.07,21,1,0.9099,0,7853.98,0,0,0.151186
SYN-00217,development,64,-0.1515,1,0,0.8053,1,1181.87,0,0,0.087199
SYN-00218,development,47,0.0017,31,0,0.8837,2,577.78,0,0,0.113599
SYN-00219,development,75,-0.1548,25,1,0.9509,0,951.67,0,0,0.177428
SYN-00220,development,69,0.5048,1,0,0.9041,1,1413.59,0,0,0.03155
SYN-00221,development,38,-0.1813,11,0,0.8779,1,3198.32,0,0,0.104815
SYN-00222,development,15,-0.0395,56,1,0.9825,0,1221.16,0,0,0.265205
SYN-00223,development,67,0.3979,60,0,1.0126,0,1727.45,0,0,0.069161
SYN-00224,development,11,-0.0706,74,0,0.7805,1,2517.88,0,0,0.236609
SYN-00225,development,56,0.1893,22,0,0.974,3,1640.03,0,0,0.074121
SYN-00226,development,70,0.0212,1,1,0.9413,1,1273.88,0,0,0.116016
SYN-00227,development,16,0.3181,16,0,1.0364,1,678.79,0,0,0.056405
SYN-00228,development,19,-0.2603,12,0,0.8041,2,789.42,0,0,0.148638
SYN-00229,development,65,0.2021,21,0,0.7833,1,180.0,0,0,0.072966
SYN-00230,development,51,-0.4304,32,0,0.677,0,3902.11,0,0,0.193265
SYN-00231,development,78,-0.0251,66,0,1.0309,3,1213.33,0,0,0.150504
SYN-00232,development,19,-0.0217,1,0,0.8239,4,960.37,0,0,0.107275
SYN-00233,development,53,0.2238,34,0,0.9861,0,689.22,0,0,0.068116
SYN-00234,development,63,-0.0962,31,0,1.0124,0,3128.66,0,0,0.09097
SYN-00235,development,78,-0.2732,12,0,1.0683,0,2925.23,0,0,0.0803
SYN-00236,development,3,-0.2473,12,0,0.8165,3,719.81,0,0,0.164313
SYN-00237,development,22,-0.3162,34,0,0.9706,0,880.46,0,0,0.157155
SYN-00238,development,50,0.1926,23,0,1.0537,4,797.95,0,0,0.077417
SYN-00239,development,56,-0.0625,1,0,1.007,1,3495.87,0,0,0.064517
SYN-00240,development,20,-0.1111,15,0,1.0417,3,596.01,1,104,0.111248
SYN-00241,development,34,-0.2682,25,0,1.1785,0,622.15,0,0,0.105828
SYN-00242,development,81,0.2041,36,0,0.9436,0,1128.77,0,0,0.065993
SYN-00243,development,25,0.1215,1,0,0.8485,0,2131.66,0,0,0.062916
SYN-00244,development,29,0.6331,48,0,0.9837,1,405.2,0,0,0.056403
SYN-00245,development,68,-0.2592,48,0,0.989,2,1446.87,0,0,0.162069
SYN-00246,development,44,0.004,21,0,0.8709,0,2063.52,0,0,0.087078
SYN-00247,development,39,0.2425,48,1,0.8873,2,622.93,0,0,0.198365
SYN-00248,development,20,0.0444,21,0,0.9311,0,715.39,0,0,0.08791
SYN-00249,development,18,0.0449,15,1,0.9404,6,623.24,0,0,0.225112
SYN-00250,development,12,0.3996,36,0,1.0157,0,4638.4,0,0,0.060421
SYN-00251,development,81,0.4784,54,0,0.9773,0,694.09,0,0,0.056461
SYN-00252,development,77,0.1982,17,0,0.8197,1,1994.66,0,0,0.062341
SYN-00253,development,12,-0.2054,12,0,0.8743,2,823.2,0,0,0.134354
SYN-00254,development,66,-0.3729,25,0,0.8682,3,2735.89,0,0,0.164775
SYN-00255,development,37,-0.1913,20,0,1.0397,0,2300.19,0,0,0.09805
SYN-00256,development,16,-0.5384,1,0,0.7801,0,995.07,0,0,0.16544
SYN-00257,development,15,0.0038,20,0,0.9768,2,1647.86,1,54,0.101715
SYN-00258,development,48,-0.0651,4,0,0.9658,0,521.45,0,0,0.07024
SYN-00259,development,45,-0.1428,8,1,0.8177,1,3957.22,0,0,0.182929
SYN-00260,development,36,-0.1516,1,0,0.9945,0,1911.3,0,0,0.076201
SYN-00261,development,53,-0.1869,26,0,0.9955,0,2879.65,0,0,0.101882
SYN-00262,development,57,-0.3473,65,0,1.0479,1,797.55,0,0,0.206578
SYN-00263,development,65,-0.0889,57,0,1.1265,5,3733.66,0,0,0.156149
SYN-00264,development,16,0.1257,101,0,1.0156,5,2061.21,0,0,0.266941
SYN-00265,development,41,0.5108,23,0,0.9249,3,190.69,0,0,0.055226
SYN-00266,development,83,0.0003,45,0,0.965,2,2922.34,0,0,0.106342
SYN-00267,development,5,-0.1605,28,0,0.8734,2,1455.09,0,0,0.157801
SYN-00268,development,22,0.2464,31,0,0.8701,3,1155.38,0,0,0.098411
SYN-00269,development,2,-0.0074,1,0,0.8078,0,832.5,0,0,0.087028
SYN-00270,development,49,-0.0729,1,0,1.0458,0,3572.77,0,0,0.060479
SYN-00271,development,80,0.4573,26,0,0.8152,1,2336.84,0,0,0.048722
SYN-00272,development,7,-0.1783,1,0,0.8748,2,1979.34,0,0,0.113521
SYN-00273,development,38,-0.3985,24,0,0.8112,8,1229.53,0,0,0.266328
SYN-00274,development,45,0.311,24,1,0.802,0,1338.66,0,0,0.124843
SYN-00275,development,38,-0.0716,34,1,1.0066,1,1238.96,1,53,0.207412
SYN-00276,development,21,-0.3325,1,1,0.8146,0,3268.47,0,0,0.218149
SYN-00277,development,12,-0.1605,57,0,0.948,0,988.01,0,0,0.181113
SYN-00278,development,41,-0.0349,56,1,0.5686,0,447.2,1,65,0.326487
SYN-00279,development,36,0.4366,36,0,1.0243,2,1482.92,0,0,0.062053
SYN-00280,development,33,-0.0879,48,1,0.6863,0,841.9,0,0,0.299891
SYN-00281,development,19,0.1504,48,0,0.8574,0,1486.94,0,0,0.115151
SYN-00282,development,61,0.4723,37,0,0.9285,1,550.78,0,0,0.055484
SYN-00283,development,63,0.0132,75,0,0.7174,0,1528.02,1,76,0.180407
SYN-00284,development,42,-0.4173,27,0,0.8323,1,960.02,0,0,0.180572
SYN-00285,development,37,0.0812,5,0,0.9836,1,2009.63,0,0,0.06331
SYN-00286,development,82,-0.2941,26,0,0.9881,0,3243.64,0,0,0.104303
SYN-00287,development,44,0.2725,43,0,1.0293,1,1414.68,0,0,0.076324
SYN-00288,development,6,-0.4309,33,0,0.7271,2,1217.05,1,55,0.255936
SYN-00289,development,53,0.1162,8,0,0.8853,3,565.12,0,0,0.075617
SYN-00290,development,66,0.0477,9,0,0.8895,1,482.59,0,0,0.068875
SYN-00291,development,38,-0.2105,5,0,0.9176,2,1792.61,1,105,0.106139
SYN-00292,development,81,-0.1171,51,0,1.0532,2,6456.53,0,0,0.119009
SYN-00293,development,66,-0.0634,41,1,0.8286,0,4294.39,0,0,0.210085
SYN-00294,development,2,0.2888,18,1,0.8285,0,327.62,0,0,0.139662
SYN-00295,development,54,0.1138,18,1,1.1753,0,1881.09,0,0,0.103016
SYN-00296,development,12,-0.3146,25,0,1.0756,2,2566.2,0,0,0.1491
SYN-00297,development,59,0.0266,20,0,0.7622,1,1375.52,0,0,0.093518
SYN-00298,development,74,0.1372,11,1,0.8189,0,1072.68,0,0,0.116477
SYN-00299,development,73,-0.1751,21,1,0.9619,0,1238.8,1,95,0.172486
SYN-00300,development,32,-0.0525,9,0,0.7372,2,1969.91,0,0,0.109067
SYN-00301,development,36,0.4541,60,0,0.6909,1,1726.33,0,0,0.104574
SYN-00302,development,56,0.1112,46,1,0.8814,2,1500.98,0,0,0.211012
SYN-00303,development,78,-0.221,28,0,0.9175,10,1374.73,1,55,0.206075
SYN-00304,development,46,0.2471,12,0,0.8022,1,6661.05,0,0,0.059263
SYN-00305,development,37,-0.3159,46,0,0.9278,1,780.72,0,0,0.189172
SYN-00306,development,61,0.6109,22,1,1.0263,2,3202.91,0,0,0.070461
SYN-00307,development,36,-0.0254,7,0,0.9758,0,798.1,0,0,0.071951
SYN-00308,development,5,-0.06,16,0,0.8697,0,1279.58,0,0,0.10531
SYN-00309,development,62,-0.4345,13,0,0.6343,0,988.81,0,0,0.159625
SYN-00310,development,18,-0.0695,1,0,0.7991,2,1903.94,0,0,0.10091
SYN-00311,development,14,-0.3038,28,0,0.9243,1,500.87,0,0,0.165196
SYN-00312,development,9,-0.0111,17,0,1.0559,2,957.76,0,0,0.096186
SYN-00313,development,63,0.0035,33,0,0.7342,0,5656.7,0,0,0.101486
SYN-00314,development,52,0.2097,14,0,0.9144,2,1563.67,0,0,0.064878
SYN-00315,development,79,-0.4688,44,0,0.8944,2,5010.19,0,0,0.196963
SYN-00316,development,55,0.0149,17,0,0.6955,2,2974.47,0,0,0.103325
SYN-00317,development,39,-0.0054,65,0,0.8388,3,414.26,0,0,0.198462
SYN-00318,development,34,0.0055,13,0,0.8192,4,1553.57,1,122,0.113259
SYN-00319,development,15,-0.008,44,0,0.9277,0,818.26,0,0,0.129199
SYN-00320,development,4,0.3024,70,0,0.7389,0,2043.4,0,0,0.145922
SYN-00321,development,9,-0.3197,41,0,0.8994,0,3690.02,0,0,0.184499
SYN-00322,development,25,-0.0078,29,0,1.0346,4,3708.96,0,0,0.11796
SYN-00323,development,58,0.0562,24,0,0.8501,0,1366.95,0,0,0.082031
SYN-00324,development,66,0.095,13,0,0.8892,0,721.95,0,0,0.063273
SYN-00325,development,22,0.3274,34,1,0.8022,2,1336.07,0,0,0.17212
SYN-00326,development,16,-0.1244,29,0,0.8555,1,2714.91,0,0,0.137078
SYN-00327,development,7,0.2156,38,0,1.25,2,1526.79,0,0,0.078858
SYN-00328,development,46,-0.1534,5,1,0.9101,0,644.13,0,0,0.161443
SYN-00329,development,37,0.1394,32,0,1.0196,1,1513.81,0,0,0.08176
SYN-00330,development,16,0.2111,22,0,0.9569,2,727.59,0,0,0.08154
SYN-00331,development,5,0.1849,6,0,0.9125,1,4013.78,0,0,0.066311
SYN-00332,development,58,-0.2799,1,0,0.7828,2,2330.93,0,0,0.113729
SYN-00333,development,62,-0.1885,60,0,0.9588,0,428.41,0,0,0.160589
SYN-00334,development,51,-0.5326,37,0,0.8128,0,847.09,0,0,0.214565
SYN-00335,development,65,-0.2508,27,0,0.7962,2,6208.19,0,0,0.139008
SYN-00336,development,77,-0.1764,1,0,0.8938,1,6722.8,1,86,0.073113
SYN-00337,development,22,0.3372,1,0,0.907,2,1783.03,0,0,0.052148
